Diet,Nutrient,Amount
저탄수화물 식단으로 설탕 섭취를 줄이는 식사,Fiber,5
저탄수화물 식단으로 설탕 섭취를 줄이는 식사,Protein,20
지중해식 식단으로 올리브 오일과 채소를 풍부히 섭취,Omega-3,10
지중해식 식단으로 올리브 오일과 채소를 풍부히 섭취,Fiber,15
고섬유질 식단으로 소화를 돕는 식사,Fiber,25
고섬유질 식단으로 소화를 돕는 식사,VitaminD,5
케토 식단으로 지방 연소를 촉진하는 식사,Fat,30
케토 식단으로 지방 연소를 촉진하는 식사,Protein,15
지중해식 식단으로 생선과 견과류를 포함한 식사,Omega-3,12
지중해식 식단으로 생선과 견과류를 포함한 식사,VitaminE,8
DASH 식단으로 혈압을 조절하는 균형 잡힌 식사,Potassium,20
DASH 식단으로 혈압을 조절하는 균형 잡힌 식사,Fiber,10
저염식 채식 식단으로 심장 부담을 최소화,Fiber,18
저염식 채식 식단으로 심장 부담을 최소화,VitaminC,10
고단백 식단으로 근육을 유지하며 체중 감량,Protein,25
고단백 식단으로 근육을 유지하며 체중 감량,Fat,5
고섬유질 식단으로 소화와 혈당을 조절,Fiber,20
고섬유질 식단으로 소화와 혈당을 조절,Potassium,8
오메가-3가 풍부한 식단으로 혈관을 보호,Omega-3,15
오메가-3가 풍부한 식단으로 혈관을 보호,Fiber,10